lon,lat,name,amenity,shop,leisure,dog_type
-0.2669551,51.5165942,Goddard,veterinary,,,🩺 Vet
0.055687,51.3677384,All Creatures Clinic,veterinary,,,🩺 Vet
0.0125522,51.5179355,Celia Hammond Animal Trust,animal_shelter,,,🏠 Shelter
0.0209584,51.488963,Pets at Home,,pet,,🐾 Pet Shop
-0.2156614,51.4997736,Village Vet,veterinary,,,🩺 Vet
-0.3067398,51.5137148,Paws in the City,veterinary,,,🩺 Vet
-0.1828019,51.585709,medivet,veterinary,,,🩺 Vet
-0.1826531,51.5856924,Pet Boutique,,pet,,🐾 Pet Shop
-0.2216824,51.4619193,Pets at Home,,pet,,🐾 Pet Shop
-0.0171137,51.4722157,Vets4Pets,veterinary,,,🩺 Vet
-0.1481728,51.6009865,Medivet,veterinary,,,🩺 Vet
-0.1471346,51.5990939,Pawvet Clinic,veterinary,,,🩺 Vet
-0.1446066,51.5892766,Broadway Pet Stores,,pet,,🐾 Pet Shop
-0.1085342,51.5649955,Fish Planet London,,pet,,🐾 Pet Shop
-0.0175292,51.3763533,Waggles Pet Emporium,,pet,,🐾 Pet Shop
-0.125077,51.4660604,,,pet,,🐾 Pet Shop
0.0378621,51.4819439,Charlton Reptiles & Aquatics,,pet,,🐾 Pet Shop
-0.0688242,51.5296564,Dog Walk Style,,pet,,🐾 Pet Shop
0.061647,51.4927858,Medivet,veterinary,,,🩺 Vet
0.182733,51.4510036,Pets at Home,,pet,,🐾 Pet Shop
0.177923,51.452272,,,pet,,🐾 Pet Shop
-0.176943,51.6185447,Medivet,veterinary,,,🩺 Vet
0.0209929,51.4769793,Blackheath Pet Supplies,,pet,,🐾 Pet Shop
-0.0121232,51.4774663,Medivet,veterinary,,,🩺 Vet
0.0165929,51.483592,Blackheath Veterinary Surgery,veterinary,,,🩺 Vet
-0.123999,51.5870828,Medivet,veterinary,,,🩺 Vet
0.0087711,51.4671374,Pets Corner,,pet,,🐾 Pet Shop
0.032807,51.4747738,The Animal Clinic,veterinary,,,🩺 Vet
0.0747398,51.3898607,Allpets Veterinary Clinic,veterinary,,,🩺 Vet
-0.1787094,51.5915248,Village Vet,veterinary,,,🩺 Vet
0.0786964,51.5909287,Goddard,veterinary,,,🩺 Vet
-0.1754197,51.6085775,The Finchley Vet,veterinary,,,🩺 Vet
-0.0178082,51.4199127,Eddie's Dog Shop,,pet,,🐾 Pet Shop
0.107058,51.5070481,Goddard,veterinary,,,🩺 Vet
0.1033359,51.5062582,Pets at Home,,pet,,🐾 Pet Shop
-0.0206664,51.4434894,Fitzgerald Veterinary Care,veterinary,,,🩺 Vet
0.0840331,51.5928274,Catwalk,,pet,,🐾 Pet Shop
0.0331121,51.5958292,Reptile Ranch,,pet,,🐾 Pet Shop
-0.1138896,51.4807163,The Hound Hut,,pet,,🐾 Pet Shop
-0.1352945,51.4425596,Handsome Hound,,pet,,🐾 Pet Shop
-0.0760762,51.5622442,Dogsnug,,pet,,🐾 Pet Shop
-0.0034652,51.4242534,Donna's Pet Shop,,pet,,🐾 Pet Shop
-0.0181085,51.4465738,Medivet,veterinary,,,🩺 Vet
-0.0805715,51.534133,The Hoxton Vet,veterinary,,,🩺 Vet
-0.0384674,51.6733365,Medivet,veterinary,,,🩺 Vet
0.1453587,51.5304754,Vets4Pets,veterinary,,,🩺 Vet
-0.39984,51.4458311,Petwell House Vets - Feltham,veterinary,,,🩺 Vet
-0.2724159,51.4928554,Wolfe Vets,veterinary,,,🩺 Vet
-0.2586203,51.4652301,Pet People,veterinary,,,🩺 Vet
0.0718058,51.389594,Pet Perfection,,pet,,🐾 Pet Shop
-0.3437681,51.5482055,,,pet,,🐾 Pet Shop
-0.3396213,51.6049525,Goddard Vetinary Group,veterinary,,,🩺 Vet
0.009472,51.4856508,ViolaPets,,pet,,🐾 Pet Shop
-0.1279119,51.4339365,South London Emergency Veterinary Centre,veterinary,,,🩺 Vet
0.0352574,51.3923735,Waggles,,pet,,🐾 Pet Shop
-0.0406525,51.4135106,,,,dog_park,🌳 Dog Park
-0.1904994,51.5386623,elizavet,veterinary,,,🩺 Vet
-0.2088637,51.6013751,Holders Hill Veterinary Surgery,veterinary,,,🩺 Vet
-0.20805,51.6058775,Triage Vets,veterinary,,,🩺 Vet
-0.0585739,51.537795,Hello Vet,veterinary,,,🩺 Vet
-0.2250836,51.5427302,All Pets Veterinary Clinic,veterinary,,,🩺 Vet
-0.0386734,51.3916111,Vets For Pets,veterinary,,,🩺 Vet
-0.0389913,51.3916128,Pets At Home,,pet,,🐾 Pet Shop
-0.070508,51.4722788,Peckham Veterinary Surgery,veterinary,,,🩺 Vet
-0.2673735,51.5046884,Acton Lane Veterinary Surgery,veterinary,,,🩺 Vet
-0.1549134,51.5422398,Village Vet,veterinary,,,🩺 Vet
-0.1140386,51.6194723,Vet and Pet Shop,veterinary,,,🩺 Vet
-0.4475091,51.5655135,Medivet,veterinary,,,🩺 Vet
-0.1077223,51.4962521,,,,dog_park,🌳 Dog Park
-0.0599336,51.4985642,London Pet Supplies,,pet,,🐾 Pet Shop
-0.1419302,51.5885263,ArcVet Centre,veterinary,,,🩺 Vet
-0.0097852,51.502467,Wood Wharf Vets,veterinary,,,🩺 Vet
-0.0084786,51.5704359,Midland Veterinary Surgery,veterinary,,,🩺 Vet
-0.0348508,51.4925504,Petals Vets,veterinary,,,🩺 Vet
-0.0169306,51.4723303,Pets at Home,,pet,,🐾 Pet Shop
-0.1055915,51.3545263,Anne Nelson Vets,veterinary,,,🩺 Vet
-0.135455,51.6833486,Halo Dogs,,,dog_park,🌳 Dog Park
-0.2130701,51.4644538,Creature Comforts,veterinary,,,🩺 Vet
-0.1453397,51.445613,Aquatic Design Centre,,pet,,🐾 Pet Shop
-0.4246917,51.4372677,Willett House Feltham,veterinary,,,🩺 Vet
-0.0338584,51.5226371,Goddard Veterinary Group,veterinary,,,🩺 Vet
