Country,Iso3,Pop_2025,Pop_2100,Change_Abs,Change_Pct
Europe,EUR,744398832.0,592250635.0,-152148197.0,-20.439069818422283
Europe and Northern America,ENA,1131927235.0,1067216669.0,-64710566.0,-5.716848574634747
"Europe, Northern America, Australia, and New Zealand",SDG,1164153160.0,1116172647.0,-47980513.0,-4.121494889899195
Falkland Islands (Malvinas),FLK,3469.0,2251.5,-1217.5,-35.09656961660421
Faroe Islands,FRO,56001.5,63251.0,7249.5,12.945188968152637
Fiji,FJI,933154.5,879377.0,-53777.5,-5.762979227984219
Finland,FIN,5623329.5,4601058.0,-1022271.5,-18.17911434853675
France,FRA,66650804.5,68484558.5,1833754.0,2.751285620265844
French Guiana,GUF,313665.5,775238.5,461573.0,147.15453245575304
French Polynesia,PYF,282465.0,186862.5,-95602.5,-33.84578620360045
Gabon,GAB,2593129.5,6903322.5,4310193.0,166.2158793072232
Gambia,GMB,2822093.0,5703042.5,2880949.5,102.08556202789916
Georgia,GEO,3806671.0,2969403.0,-837268.0,-21.994756048000998
Germany,DEU,84075074.5,70899863.0,-13175211.5,-15.670769937884504
Ghana,GHA,35064272.5,67547746.0,32483473.5,92.63980451897298
Gibraltar,GIB,40126.0,49261.5,9135.5,22.76703384339331
Greece,GRC,9938844.5,6275576.5,-3663268.0,-36.858087476869166
Greenland,GRL,55744.5,37230.0,-18514.5,-33.2131421037053
Grenada,GRD,117303.5,73887.0,-43416.5,-37.01210961309765
Group A: Eastern and South-Eastern Asia,DA5,1692995334.5,789715242.5,-903280092.0,-53.35396226988244
"Group A: Europe, Northern America, Australia and New Zealand",DA8,533985567.5,377434764.0,-156550803.5,-29.31742223538654
Group A: Latin America and the Caribbean,DA6,21623600.5,10690852.5,-10932748.0,-50.55933215192354
Group A: Northern Africa and Western Asia,DA4,6759035.5,4661601.0,-2097434.5,-31.031565080550322
Group A: Oceania (excluding Australia and New Zealand),DA7,169791.0,126010.5,-43780.5,-25.784935597293142
Group A: Sub-Saharan Africa,DA3,1273476.0,584351.0,-689125.0,-54.113701396806846
